function_name,data_length,runtime_speed_secs
silly_sort,2,1.239776611328125e-05
silly_sort,3,1.1920928955078125e-05
silly_sort,4,1.6450881958007812e-05
stupid_sort,2,9.5367431640625e-07
stupid_sort,3,1.6689300537109375e-06
stupid_sort,4,4.76837158203125e-07
